difficulty	stability	retrievability	delta_t	reps	lapses	last_date	due	r_history	t_history	p_history	states	time	factor
4.39	350.1	0.96	137.0	7	0	162.0	517	2,3,2,4,4,3,4	0,1.0,3.0,4.0,12.0,39.0,103.0	0.19,0.92,0.91,0.88,0.90,0.91,0.90	tensor([350.0999,   4.3894])	0.02	2.8
1.0	658.26	0.98	138.0	5	0	161.0	576	4,3,4,4,4	0,4.0,10.0,33.0,114.0	0.33,0.96,0.95,0.95,0.94	tensor([658.2623,   1.0000])	0.01	2.95
5.33	170.37	0.99	18.0	6	1	281.0	460	3,4,3,4,1,2,3,4,4,3,2	0,1.0,4.0,11.0,38.0,1.0,2.0,5.0,16.0,54.0,149.0	0.3,0.98,0.96,0.94,0.94,0.99,0.97,0.95,0.94,0.93,0.91	tensor([170.3735,   5.3295])	0.02	2.6
5.63	277.38	0.96	97.0	7	0	202.0	547	2,2,3,4,4,3,3	0,1.0,2.0,5.0,15.0,49.0,130.0	0.19,0.92,0.85,0.88,0.90,0.91,0.89	tensor([277.3802,   5.6260])	0.02	2.65
1.29	444.78	0.97	131.0	5	0	168.0	496	4,4,3,4,3	0,4.0,13.0,34.0,117.0	0.33,0.96,0.95,0.94,0.94	tensor([444.7809,   1.2884])	0.01	2.8
4.06	344.7	0.95	149.0	7	0	150.0	452	3,2,3,3,4,3,4	0,1.0,2.0,5.0,12.0,37.0,93.0	0.3,0.98,0.96,0.94,0.93,0.92,0.91	tensor([344.7026,   4.0635])	0.02	2.65
2.52	301.47	0.94	165.0	5	0	134.0	365	4,3,4,3,3	0,4.0,10.0,33.0,87.0	0.33,0.96,0.95,0.95,0.93	tensor([301.4707,   2.5212])	0.01	2.65
7.48	110.41	0.96	46.0	6	4	253.0	382	2,3,3,2,4,1,3,1,3,3,3,4,1,4,4,2,1,2,4,4,3,3,3	0,1.0,3.0,8.0,10.0,31.0,1.0,3.0,1.0,3.0,6.0,13.0,35.0,1.0,4.0,11.0,13.0,1.0,2.0,5.0,13.0,28.0,60.0	0.19,0.92,0.91,0.91,0.88,0.89,0.98,0.95,0.95,0.89,0.86,0.82,0.80,0.97,0.92,0.91,0.89,0.97,0.94,0.90,0.90,0.90,0.89	tensor([110.4096,   7.4756])	0.05	2.15
2.52	665.01	0.99	39.0	6	0	260.0	774	4,3,3,3,3,4	0,4.0,10.0,25.0,63.0,158.0	0.33,0.96,0.95,0.94,0.93,0.92	tensor([665.0101,   2.5185])	0.01	2.65
9.92	54.46	0.82	110.0	7	2	189.0	318	1,1,2,3,1,3,4,4,2,3,2,3	0,1.0,1.0,2.0,4.0,1.0,3.0,8.0,22.0,26.0,55.0,66.0	0.19,0.91,0.86,0.76,0.79,0.90,0.82,0.83,0.88,0.86,0.85,0.83	tensor([54.4572,  9.9209])	0.02	1.95
1.94	640.35	0.98	99.0	6	0	200.0	745	2,4,4,3,4,4	0,1.0,4.0,14.0,39.0,142.0	0.19,0.92,0.92,0.93,0.92,0.92	tensor([640.3503,   1.9394])	0.02	3.1
6.24	124.74	0.93	90.0	5	3	209.0	324	3,2,1,3,1,4,3,2,3,2,4,1,4,4,3,3,4	0,1.0,2.0,1.0,3.0,1.0,4.0,8.0,10.0,20.0,24.0,56.0,1.0,4.0,10.0,21.0,43.0	0.3,0.98,0.96,0.95,0.90,0.93,0.85,0.88,0.85,0.82,0.79,0.80,0.98,0.93,0.92,0.91,0.91	tensor([124.7422,   6.2353])	0.03	2.2
8.69	18.11	0.87	24.0	5	3	275.0	302	3,3,2,4,1,3,3,3,2,2,3,3,1,3,2,4,1,4,2,3,3,4	0,1.0,3.0,4.0,12.0,1.0,3.0,7.0,16.0,19.0,23.0,46.0,92.0,1.0,3.0,4.0,9.0,1.0,4.0,5.0,8.0,13.0	0.3,0.98,0.96,0.95,0.94,0.97,0.94,0.92,0.91,0.89,0.87,0.83,0.79,0.98,0.95,0.93,0.90,0.96,0.89,0.87,0.87,0.86	tensor([18.1050,  8.6936])	0.04	1.75
3.76	295.93	0.97	82.0	6	0	217.0	460	4,3,3,4,2,3	0,4.0,10.0,25.0,81.0,97.0	0.33,0.96,0.95,0.94,0.94,0.93	tensor([295.9273,   3.7625])	0.01	2.5
5.96	186.88	0.91	171.0	6	0	128.0	380	1,3,3,4,4,3	0,1.0,3.0,8.0,26.0,90.0	0.19,0.91,0.88,0.87,0.88,0.89	tensor([186.8840,   5.9575])	0.01	2.8
6.86	116.31	0.9	122.0	7	0	177.0	321	2,2,3,3,4,4,2	0,1.0,2.0,5.0,12.0,37.0,120.0	0.19,0.92,0.85,0.88,0.88,0.89,0.90	tensor([116.3068,   6.8588])	0.01	2.5
2.53	444.46	0.98	74.0	6	0	225.0	577	4,4,3,2,4,3	0,4.0,13.0,34.0,41.0,133.0	0.33,0.96,0.95,0.94,0.93,0.93	tensor([444.4643,   2.5296])	0.01	2.65
4.72	436.12	0.98	86.0	7	0	213.0	741	1,4,2,4,3,4,4	0,1.0,4.0,5.0,16.0,42.0,145.0	0.19,0.91,0.89,0.87,0.88,0.88,0.88	tensor([436.1236,   4.7153])	0.02	2.95
9.3	71.49	0.94	43.0	9	0	256.0	420	2,2,3,2,4,3,2,4,2	0,1.0,2.0,5.0,6.0,17.0,40.0,48.0,137.0	0.19,0.92,0.85,0.88,0.86,0.86,0.86,0.84,0.82	tensor([71.4922,  9.3042])	0.02	2.2
2.52	307.09	0.95	158.0	5	0	141.0	380	4,4,3,3,3	0,4.0,13.0,34.0,90.0	0.33,0.96,0.95,0.94,0.93	tensor([307.0929,   2.5249])	0.01	2.65
