difficulty	stability	retrievability	delta_t	reps	lapses	last_date	due	r_history	t_history	p_history	states	time	factor
7.2	156.83	0.91	146.0	5	0	153.0	463	1,3,4,3,3	0,2.0,7.0,34.0,110.0	0.19,0.83,0.82,0.82,0.82	tensor([156.8320,   7.2034])	0.01	2.5
4.73	490.89	0.98	74.0	5	0	225.0	1195	1,3,4,4,4	0,2.0,7.0,34.0,182.0	0.19,0.83,0.82,0.82,0.82	tensor([490.8911,   4.7266])	0.01	2.5
3.74	267.04	0.94	159.0	3	0	140.0	668	4,3,3	0,21.0,119.0	0.33,0.82,0.82	tensor([267.0356,   3.7447])	0.0	2.5
1.27	871.39	0.99	66.0	3	0	233.0	1955	4,4,4	0,21.0,212.0	0.33,0.82,0.82	tensor([871.3927,   1.2678])	0.01	2.5
3.74	267.04	0.94	159.0	3	0	140.0	668	4,3,3	0,21.0,119.0	0.33,0.82,0.82	tensor([267.0356,   3.7447])	0.0	2.5
2.51	497.78	0.99	66.0	3	0	233.0	1216	4,4,3	0,21.0,212.0	0.33,0.82,0.82	tensor([497.7762,   2.5081])	0.01	2.5
3.17	611.74	0.98	91.0	4	0	208.0	1417	2,4,4,4	0,3.0,24.0,181.0	0.19,0.79,0.82,0.82	tensor([611.7381,   3.1706])	0.01	2.5
4.07	198.57	0.89	232.0	3	0	67.0	459	3,3,4	0,11.0,56.0	0.3,0.82,0.82	tensor([198.5656,   4.0745])	0.01	2.5
4.07	302.98	0.97	84.0	2	1	215.0	814	3,4,1,4,4	0,11.0,99.0,13.0,92.0	0.3,0.82,0.82,0.82,0.82	tensor([302.9766,   4.0745])	0.01	2.5
10.0	4.89	0.83	9.0	0	3	290.0	300	1,4,3,1,4,4,1,3,3,1	0,2.0,12.0,44.0,9.0,26.0,107.0,14.0,27.0,49.0	0.19,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82	tensor([ 4.8891, 10.0000])	0.02	2.5
8.74	39.08	0.92	31.0	2	2	268.0	345	2,1,3,2,3,4,3,3,1,4,3	0,3.0,2.0,5.0,5.0,9.0,22.0,54.0,121.0,14.0,33.0	0.19,0.79,0.79,0.81,0.81,0.82,0.82,0.82,0.82,0.82,0.82	tensor([39.0810,  8.7354])	0.02	2.5
4.73	490.89	0.98	74.0	5	0	225.0	1195	1,3,4,4,4	0,2.0,7.0,34.0,182.0	0.19,0.83,0.82,0.82,0.82	tensor([490.8911,   4.7266])	0.01	2.5
3.75	395.68	0.99	40.0	4	0	259.0	1041	4,3,2,4	0,21.0,119.0,119.0	0.33,0.82,0.82,0.82	tensor([395.6787,   3.7457])	0.01	2.5
3.74	267.04	0.94	159.0	3	0	140.0	668	4,3,3	0,21.0,119.0	0.33,0.82,0.82	tensor([267.0356,   3.7447])	0.0	2.5
5.93	370.68	0.99	19.0	4	1	280.0	1012	1,3,4,1,3,4,4,4	0,2.0,7.0,34.0,8.0,16.0,44.0,169.0	0.19,0.83,0.82,0.82,0.82,0.82,0.82,0.82	tensor([370.6794,   5.9277])	0.02	2.5
9.97	21.22	0.88	27.0	5	3	272.0	314	3,2,2,1,4,3,2,4,1,1,3,3,2,3,3	0,11.0,11.0,11.0,5.0,13.0,33.0,33.0,73.0,12.0,5.0,9.0,15.0,15.0,26.0	0.3,0.82,0.82,0.82,0.80,0.82,0.82,0.82,0.82,0.81,0.81,0.81,0.82,0.82,0.82	tensor([21.2184,  9.9719])	0.02	2.5
7.46	212.74	0.99	12.0	6	1	287.0	707	1,1,4,4,3,2,3,4	0,2.0,1.0,4.0,19.0,62.0,62.0,137.0	0.19,0.83,0.87,0.80,0.82,0.82,0.82,0.82	tensor([212.7412,   7.4616])	0.02	2.5
4.07	658.05	1.0	4.0	4	0	295.0	1595	3,3,3,4	0,11.0,56.0,228.0	0.3,0.82,0.82,0.82	tensor([658.0472,   4.0745])	0.01	2.5
2.51	497.78	0.99	66.0	3	0	233.0	1216	4,4,3	0,21.0,212.0	0.33,0.82,0.82	tensor([497.7762,   2.5081])	0.01	2.5
5.95	295.71	0.96	109.0	6	0	190.0	774	1,4,2,3,4,4	0,2.0,12.0,12.0,33.0,131.0	0.19,0.83,0.82,0.82,0.82,0.82	tensor([295.7064,   5.9538])	0.01	2.5
7.8	9.52	0.97	3.0	0	1	296.0	315	3,3,3,1	0,11.0,56.0,228.0	0.3,0.82,0.82,0.82	tensor([9.5151, 7.7953])	0.0	2.5
7.19	272.46	1.0	9.0	6	0	290.0	828	1,3,3,3,4,3	0,2.0,7.0,21.0,55.0,204.0	0.19,0.83,0.82,0.82,0.82,0.82	tensor([272.4603,   7.1903])	0.01	2.5
5.31	392.67	1.0	3.0	4	0	296.0	1072	3,3,3,3	0,11.0,56.0,228.0	0.3,0.82,0.82,0.82	tensor([392.6747,   5.3148])	0.01	2.5
9.97	32.14	0.85	50.0	5	3	249.0	312	1,3,3,1,4,1,4,4,1,4,2,2,3,3	0,2.0,7.0,21.0,6.0,16.0,5.0,13.0,53.0,10.0,25.0,25.0,25.0,40.0	0.19,0.83,0.82,0.82,0.83,0.82,0.83,0.82,0.82,0.82,0.82,0.82,0.82,0.82	tensor([32.1409,  9.9719])	0.03	2.5
